"|","||","||__weightedAverage","||__max","||__min","||__stddev","||__median","||__volume","||__orderCount","||__percentile"
"","sell","8834.7196836","16000.0","8399.0","1699.72891093","8658.0","3441900.0","36","8455.18864581"
"44","buy","6653.26393097","9143.0","5831.0","1356.37528843","7361.0","309903.0","13","9128.9594486"
"","sell","10740.5424235","17500.0","9300.0","1759.33874554","10125.0","1067050.0","32","9300.0"
"3693","buy","7477.77777778","7700.0","4700.0","2121.32034356","6200.0","64800.0","2","7700.0"
"","sell","9454.40887558","24500.0","8400.0","2416.24113181","8589.0","687121.0","45","8426.8859313"
"15317","buy","0","0","0","0","0","0","0","0"
"","sell","12115.6502914","18500.0","8400.0","1939.81070669","11985.0","421734.0","36","8400.0"
"3725","buy","8050.36948926","10300.0","6624.0","1736.57501997","10100.0","80706.0","5","10300.0"
"","sell","16130.1855291","22500.0","13200.0","2431.52004795","13990.0","115777.0","13","13200.0"
"3689","buy","6250.61156463","6726.0","5799.0","317.031456554","6330.0","233851.0","9","6609.95481311"
"","sell","8314.10255197","15000.0","7690.0","1128.36788576","8193.5","2061111.0","54","7691.69038058"
"2327","buy","11204.9974375","11700.0","10120.0","686.440092069","11000.0","39024.0","5","11700.0"
"","sell","16727.0253317","129000.0","13770.0","22424.126708","14080.0","551285.0","26","13779.9891163"
"9842","buy","9006.81926249","9809.0","7975.0","700.296297835","9001.0","45342.0","7","9809.0"
"","sell","12446.6657759","113700.0","11020.0","15570.9666222","11740.0","995380.0","43","11029.9995981"
"2463","buy","4917.17763526","5100.0","4798.0","153.844076909","5000.0","23233.0","3","5100.0"
"","sell","6157.31243594","7699.0","5570.0","420.75091401","6130.0","1219578.0","53","5586.23134232"
"2317","buy","5343.73190517","6023.0","5300.0","511.238202798","5661.5","63485.0","2","6023.0"
"","sell","8027.76273462","14340.0","6868.0","2272.34198174","7947.0","970681.0","61","6868.0"
"2321","buy","12594.4981095","12900.0","11150.0","737.12052384","12875.0","40995.0","6","12900.0"
"","sell","17146.7621964","128000.0","13500.0","19639.8739523","15000.0","410204.0","33","13952.7793976"
"3695","buy","3441.44986422","3500.0","3310.0","77.6546843404","3404.5","96847.0","4","3500.0"
"","sell","6053.36182354","13500.0","4693.0","1371.06772851","5923.0","474198.0","44","4693.0"
"9830","buy","6725.16113256","8471.0","2500.0","2885.7145851","8160.5","196298.0","4","8287.33852612"
"","sell","12655.9505065","14980.0","9240.0","2048.28111506","13280.0","715650.0","20","9927.1854957"
"3697","buy","10047.414966","10510.0","10000.0","360.624458405","10255.0","66150.0","2","10510.0"
